Date Type,Date,Program,Total Doses Administered Daily,Daily Count People Receiving Dose 1,Daily Count People Receiving Dose 2,Total Doses Administered Cumulative,People Receiving 1 or More Doses Cumulative,People Receiving 2 Doses Cumulative,7-Day Avg Daily Count Dose 1,7-Day Avg Total Doses Daily,7-Day Avg Daily Count Dose 2,Total Doses Administered Daily Change,7-Day Avg Total Doses Administered Daily Change,Daily Count of People Fully Vaccinated,People with at least One Dose Cumulative,People Fully Vaccinated Cumulative,7-Day Avg Daily Count of People Fully Vaccinated
Report,3/3/21,US,null,null,null,null,null,null,null,null,null,1908873,2010790,null,null,null,null
Admin,3/3/21,LTC,41320,12901,28109,7362328,4712185,2594722,17756,52101,33784,null,null,28111,4712185,2594728,33784
Admin,3/4/21,US,3050248,1898767,1121203,93941413,60629138,32042387,1334817,2232629,873663,null,null,1168714,60629138,32103971,882158
Report,3/4/21,US,null,null,null,null,null,null,null,null,null,2032374,2042676,null,null,null,null
Admin,3/4/21,LTC,40785,11596,28782,7403113,4723781,2623504,13407,42149,28263,null,null,28782,4723781,2623510,28263
Admin,3/5/21,US,3073968,1948708,1104487,97015381,62577846,33146874,1379279,2247982,846159,null,null,1226772,62577846,33330743,872111
Report,3/5/21,US,null,null,null,null,null,null,null,null,null,2435246,2079147,null,null,null,null
Admin,3/5/21,LTC,39742,12719,26533,7442855,4736500,2650037,12019,37792,25375,null,null,26540,4736500,2650050,25376
Admin,3/6/21,US,1966941,1308084,646717,98982322,63885930,33793591,1407162,2257082,828596,null,null,818894,63885930,34149637,879106
Report,3/6/21,US,null,null,null,null,null,null,null,null,null,2904229,2158020,null,null,null,null
Admin,3/6/21,LTC,16599,5110,11304,7459454,4741610,2661341,10869,34095,22875,null,null,11363,4741610,2661413,22884
Admin,3/7/21,US,867215,643966,219096,99849537,64529896,34012687,1425213,2266718,821307,null,null,319062,64529896,34468699,886092
Report,3/7/21,US,null,null,null,null,null,null,null,null,null,2439427,2159392,null,null,null,null
Admin,3/7/21,LTC,10699,3315,7148,7470153,4744925,2668489,10449,32529,21739,null,null,7150,4744925,2668563,21749
Admin,3/8/21,US,2042940,1424342,605949,101892477,65954238,34618636,1473782,2298532,806505,null,null,797889,65954238,35266588,898603
Report,3/8/21,US,null,null,null,null,null,null,null,null,null,1738102,2169981,null,null,null,null
Admin,3/8/21,LTC,24097,7518,16307,7494250,4752443,2684796,9692,30577,20562,null,null,16309,4752443,2684872,20573
Admin,3/9/21,US,2554741,1734859,806836,104447218,67689097,35425472,1521231,2332206,793996,null,null,1011676,67689097,36278264,915255
Report,3/9/21,US,null,null,null,null,null,null,null,null,null,1602746,2151571,null,null,null,null
Admin,3/9/21,LTC,27106,9339,17568,7521356,4761782,2702364,8928,28621,19393,null,null,17569,4761782,2702441,19403
Admin,3/10/21,US,3000633,2013168,968777,107447851,69702265,36394249,1567413,2365240,781866,null,null,1205857,69702265,37484121,935552
Report,3/10/21,US,null,null,null,null,null,null,null,null,null,2028692,2168688,null,null,null,null
Admin,3/10/21,LTC,23699,7660,15821,7545055,4769442,2718185,8180,26103,17638,null,null,15822,4769442,2718263,17647
Admin,3/11/21,US,3326549,2229583,1069864,110774400,71931848,37464113,1614673,2404712,774532,null,null,1333985,71931848,38818106,959162
Report,3/11/21,US,null,null,null,null,null,null,null,null,null,2482603,2233006,null,null,null,null
Admin,3/11/21,LTC,22611,6954,15400,7567666,4776396,2733585,7516,23507,15726,null,null,15406,4776396,2733669,15737
Admin,3/12/21,US,3294478,2066572,1190235,114068878,73998420,38654348,1631511,2436213,786782,null,null,1446768,73998420,40264874,990590
Report,3/12/21,US,null,null,null,null,null,null,null,null,null,2924112,2302844,null,null,null,null
Admin,3/12/21,LTC,22213,7511,14390,7589879,4783907,2747975,6772,21003,13991,null,null,14402,4783907,2748071,14003
Admin,3/13/21,US,2103607,1357414,725882,116172485,75355834,39380230,1638558,2455737,798091,null,null,966298,75355834,41231172,1011647
Report,3/13/21,US,null,null,null,null,null,null,null,null,null,3234490,2350025,null,null,null,null
Admin,3/13/21,LTC,10264,2655,7506,7600143,4786562,2755481,6422,20098,13449,null,null,7508,4786562,2755579,13452
Admin,3/14/21,US,927858,631214,284498,117100343,75987048,39664728,1636736,2464400,807434,null,null,393478,75987048,41624650,1022278
Report,3/14/21,US,null,null,null,null,null,null,null,null,null,2697779,2386932,null,null,null,null
Admin,3/14/21,LTC,7942,1761,6066,7608085,4788323,2761547,6200,19704,13294,null,null,6069,4788323,2761648,13297
Admin,3/15/21,US,2148846,1437387,687724,119249189,77424435,40352452,1638600,2479530,819117,null,null,815544,77424435,42440194,1024800
Report,3/15/21,US,null,null,null,null,null,null,null,null,null,2021586,2427430,null,null,null,null
Admin,3/15/21,LTC,15061,4396,10022,7623146,4792719,2771569,5754,18413,12396,null,null,10031,4792719,2771679,12401
Admin,3/16/21,US,2751413,1877966,855981,122000602,79302401,41208433,1659043,2507626,826137,null,null,985663,79302401,43425857,1021084
Report,3/16/21,US,null,null,null,null,null,null,null,null,null,1655996,2435037,null,null,null,null
Admin,3/16/21,LTC,14401,4903,9315,7637547,4797622,2780884,5120,16598,11217,null,null,9318,4797622,2780997,11222
Admin,3/17/21,US,3026707,2074988,934248,125027309,81377389,42142681,1667875,2511351,821205,null,null,1062726,81377389,44488583,1000637
Report,3/17/21,US,null,null,null,null,null,null,null,null,null,2299771,2473762,null,null,null,null
Admin,3/17/21,LTC,15000,4984,9898,7652547,4802606,2790782,4738,15356,10371,null,null,9900,4802606,2790897,10376
Admin,3/18/21,US,3241521,2230423,993726,128268830,83607812,43136407,1667995,2499204,810328,null,null,1131033,83607812,45619616,971644
Report,3/18/21,US,null,null,null,null,null,null,null,null,null,2692381,2503731,null,null,null,null
Admin,3/18/21,LTC,14969,4870,9947,7667516,4807476,2800729,4440,14264,9592,null,null,9964,4807476,2800861,9598
Admin,3/19/21,US,3175931,2161934,995993,131444761,85769746,44132400,1681618,2482269,782579,null,null,1145020,85769746,46764636,928537
Report,3/19/21,US,null,null,null,null,null,null,null,null,null,2583810,2455116,null,null,null,null
Admin,3/19/21,LTC,13900,4437,9275,7681416,4811913,2810004,4001,13076,8861,null,null,9302,4811913,2810163,8870
Admin,3/20/21,US,2056055,1371551,674638,133500816,87141297,44807038,1683638,2475475,775258,null,null,810084,87141297,47574720,906221
Report,3/20/21,US,null,null,null,null,null,null,null,null,null,3127679,2439857,null,null,null,null
Admin,3/20/21,LTC,6753,1618,5041,7688169,4813531,2815045,3853,12575,8509,null,null,5044,4813531,2815207,8518
Admin,3/21/21,US,958476,658926,293972,134459292,87800223,45101010,1687596,2479849,776612,null,null,341856,87800223,47916576,898846
Report,3/21/21,US,null,null,null,null,null,null,null,null,null,3039915,2488734,null,null,null,null
Admin,3/21/21,LTC,3435,1000,2382,7691604,4814531,2817427,3744,11931,7983,null,null,2383,4814531,2817590,7991
Admin,3/22/21,US,2232395,1555327,664870,136691687,89355550,45765880,1704445,2491785,773347,null,null,747436,89355550,48664012,889116
Report,3/22/21,US,null,null,null,null,null,null,null,null,null,2028324,2489697,null,null,null,null
Admin,3/22/21,LTC,8066,2765,5083,7699670,4817296,2822510,3511,10932,7277,null,null,5094,4817296,2822684,7286
Admin,3/23/21,US,2923024,1948400,957897,139614711,91303950,46723777,1714507,2516301,787906,null,null,1062873,91303950,49726885,900146
Report,3/23/21,US,null,null,null,null,null,null,null,null,null,1707293,2497025,null,null,null,null
Admin,3/23/21,LTC,7157,2862,4259,7706827,4820158,2826769,3219,9897,6555,null,null,4340,4820158,2827024,6575
Admin,3/24/21,US,3394613,2158924,1215718,143009324,93462874,47939495,1726498,2568859,828116,null,null,1328340,93462874,51055225,938091
Report,3/24/21,US,null,null,null,null,null,null,null,null,null,2256824,2490889,null,null,null,null
Admin,3/24/21,LTC,7287,2986,4241,7714114,4823144,2831010,2934,8795,5747,null,null,4655,4823144,2831679,5826
Admin,3/25/21,US,3663335,2220883,1418965,146672659,95683757,49358460,1725135,2629118,888865,null,null,1541781,95683757,52597006,996770
Report,3/25/21,US,null,null,null,null,null,null,null,null,null,2831442,2510755,null,null,null,null
Admin,3/25/21,LTC,7660,3118,4446,7721774,4826262,2835456,2684,7751,4961,null,null,4715,4826262,2836394,5076
Admin,3/26/21,US,3656266,2073221,1562970,150328925,97756978,50921430,1712462,2697737,969861,null,null,1685139,97756978,54282145,1073929
Report,3/26/21,US,null,null,null,null,null,null,null,null,null,3379393,2624410,null,null,null,null
Admin,3/26/21,LTC,6828,3118,3593,7728602,4829380,2839049,2495,6740,4149,null,null,3792,4829380,2840186,4289
Admin,3/27/21,US,2368733,1345733,1009500,152697658,99102711,51930930,1708773,2742406,1017699,null,null,1095952,99102711,55378097,1114768
Report,3/27/21,US,null,null,null,null,null,null,null,null,null,3496047,2677034,null,null,null,null
Admin,3/27/21,LTC,1600,395,1190,7730202,4829775,2840239,2321,6004,3599,null,null,1205,4829775,2841391,3740
Admin,3/28/21,US,1147211,661153,476264,153844869,99763864,52407194,1709092,2769368,1043741,null,null,505171,99763864,55883268,1138098
Report,3/28/21,US,null,null,null,null,null,null,null,null,null,3281956,2711611,null,null,null,null
Admin,3/28/21,LTC,1059,286,760,7731261,4830061,2840999,2219,5665,3367,null,null,760,4830061,2842151,3508
Admin,3/29/21,US,2669341,1563927,1088636,156514210,101327791,53495830,1710320,2831789,1104279,null,null,1170413,101327791,57053681,1198524
Report,3/29/21,US,null,null,null,null,null,null,null,null,null,2350144,2757586,null,null,null,null
Admin,3/29/21,LTC,4206,1960,2167,7735467,4832021,2843166,2104,5113,2951,null,null,2284,4832021,2844435,3107
Admin,3/30/21,US,3383772,1978336,1387744,159897982,103306127,54883574,1714597,2897610,1165685,null,null,1508462,103306127,58562143,1262179
Report,3/30/21,US,null,null,null,null,null,null,null,null,null,1789510,2769331,null,null,null,null
Admin,3/30/21,LTC,4199,2059,2113,7739666,4834080,2845279,1989,4691,2644,null,null,2569,4834080,2847004,2854
Admin,3/31/21,US,3963844,2357651,1585470,163861826,105663778,56469044,1742986,2978928,1218507,null,null,1800472,105663778,60362615,1329627
Report,3/31/21,US,null,null,null,null,null,null,null,null,null,2670947,2828491,null,null,null,null
Admin,3/31/21,LTC,4097,2308,1719,7743763,4836388,2846998,1892,4235,2284,null,null,2326,4836388,2849330,2521
Admin,4/1/21,US,4249224,2437368,1786167,168111050,108101146,58255211,1773913,3062627,1270964,null,null,2058269,108101146,62420884,1403411
Report,4/1/21,US,null,null,null,null,null,null,null,null,null,3358112,2903730,null,null,null,null
Admin,4/1/21,LTC,4606,2362,1349,7748369,4838750,2848347,1784,3799,1842,null,null,1862,4838750,2851192,2114
Admin,4/2/21,US,3475780,2008844,1442637,171586830,110109990,59697848,1764716,3036843,1253774,null,null,1686408,110109990,64107292,1403592
Report,4/2/21,US,null,null,null,null,null,null,null,null,null,3975059,2988825,null,null,null,null
Admin,4/2/21,LTC,4969,1343,1357,7753338,4840093,2849704,1530,3533,1522,null,null,1697,4840093,2852889,1814
Admin,4/3/21,US,2194762,1291809,889316,173781592,111401799,60587164,1757013,3011990,1236605,null,null,1076109,111401799,65183401,1400757
Report,4/3/21,US,null,null,null,null,null,null,null,null,null,4081959,3072527,null,null,null,null
Admin,4/3/21,LTC,1283,294,418,7754621,4840387,2850122,1516,3488,1412,null,null,418,4840387,2853307,1702
Admin,4/4/21,US,711462,420213,285225,174493054,111822012,60872389,1722593,2949740,1209314,null,null,338528,111822012,65521929,1376951
Report,4/4/21,US,null,null,null,null,null,null,null,null,null,3365324,3084436,null,null,null,null
Admin,4/4/21,LTC,195,86,93,7754816,4840473,2850215,1487,3365,1317,null,null,94,4840473,2853401,1607
Admin,4/5/21,US,2909249,1675139,1218704,177402303,113497151,62091093,1738480,2984013,1227895,null,null,1469891,113497151,66991820,1419734
Report,4/5/21,US,null,null,null,null,null,null,null,null,null,2134049,3053566,null,null,null,null
Admin,4/5/21,LTC,2715,1801,892,7757531,4842274,2851107,1465,3152,1134,null,null,1132,4842274,2854533,1442
Admin,4/6/21,US,3733380,2204719,1510757,181135683,115701870,63601850,1770820,3033957,1245468,null,null,1918395,115701870,68910215,1478296
Report,4/6/21,US,null,null,null,null,null,null,null,null,null,1404280,2998533,null,null,null,null
Admin,4/6/21,LTC,3637,2270,1358,7761168,4844544,2852465,1495,3071,1027,null,null,2150,4844544,2856683,1382
Admin,4/7/21,US,4022701,2415828,1589541,185158384,118117698,65191391,1779131,3042365,1246050,null,null,2104285,118117698,71014500,1521697
Report,4/7/21,US,null,null,null,null,null,null,null,null,null,2884580,3029052,null,null,null,null
Admin,4/7/21,LTC,3850,2662,1165,7765018,4847206,2853630,1545,3036,947,null,null,1838,4847206,2858521,1313
Admin,4/8/21,US,4030169,2363677,1647399,189188553,120481375,66838790,1768604,3011071,1226226,null,null,2208326,120481375,73222826,1543134
Report,4/8/21,US,null,null,null,null,null,null,null,null,null,3403061,3035473,null,null,null,null
Admin,4/8/21,LTC,3428,2221,1189,7768446,4849427,2854819,1525,2868,925,null,null,2023,4849427,2860544,1336
Admin,4/9/21,US,4073115,2357271,1692120,193261668,122838646,68530910,1818379,3096405,1261866,null,null,2261268,122838646,75484094,1625257
Report,4/9/21,US,null,null,null,null,null,null,null,null,null,3958065,3033045,null,null,null,null
Admin,4/9/21,LTC,3304,2254,1032,7771750,4851681,2855851,1655,2630,878,null,null,1848,4851681,2862392,1357
Admin,4/10/21,US,2733101,1666785,1053677,195994769,124505431,69584587,1871947,3173311,1285346,null,null,1551317,124505431,77035411,1693144
Report,4/10/21,US,null,null,null,null,null,null,null,null,null,4629928,3111327,null,null,null,null
Admin,4/10/21,LTC,298,107,189,7772048,4851788,2856040,1629,2489,845,null,null,190,4851788,2862582,1325
Admin,4/11/21,US,1329011,812645,510512,197323780,125318076,70095099,1928009,3261532,1317530,null,null,748797,125318076,77784208,1751754
Report,4/11/21,US,null,null,null,null,null,null,null,null,null,3579422,3141912,null,null,null,null
Admin,4/11/21,LTC,406,80,324,7772454,4851868,2856364,1628,2519,878,null,null,335,4851868,2862917,1359
Admin,4/12/21,US,2820743,1578139,1229757,200144523,126896215,71324856,1914152,3248888,1319109,null,null,1580934,126896215,79365142,1767617
Report,4/12/21,US,null,null,null,null,null,null,null,null,null,2644914,3214893,null,null,null,null
Admin,4/12/21,LTC,2351,1606,727,7774805,4853474,2857091,1600,2467,855,null,null,1193,4853474,2864110,1368
Admin,4/13/21,US,3292297,1699605,1578438,203436820,128595820,72903294,1841993,3185876,1328778,null,null,1600695,128595820,80965837,1722231
Report,4/13/21,US,null,null,null,null,null,null,null,null,null,2590736,3384387,null,null,null,null
Admin,4/13/21,LTC,2308,1438,853,7777113,4854912,2857944,1481,2277,783,null,null,853,4854912,2864963,1182
Admin,4/14/21,US,3492375,1696986,1781151,206929195,130292806,74684445,1739301,3110115,1356151,null,null,1784011,130292806,82749848,1676478
Report,4/14/21,US,null,null,null,null,null,null,null,null,null,2509055,3330740,null,null,null,null
Admin,4/14/21,LTC,1740,1178,557,7778853,4856090,2858501,1269,1976,696,null,null,557,4856090,2865520,999
Admin,4/15/21,US,3514487,1702871,1798674,210443682,131995677,76483119,1644900,3036447,1377761,null,null,1800790,131995677,84550638,1618258
Report,4/15/21,US,null,null,null,null,null,null,null,null,null,3525204,3348189,null,null,null,null
Admin,4/15/21,LTC,2900,1851,1047,7781753,4857941,2859548,1216,1901,676,null,null,1047,4857941,2866567,860
Admin,4/16/21,US,3379229,1585915,1780655,213822911,133581592,78263774,1534707,2937320,1390409,null,null,1782263,133581592,86332901,1549829
Report,4/16/21,US,null,null,null,null,null,null,null,null,null,3965883,3349306,null,null,null,null
Admin,4/16/21,LTC,2076,1175,883,7783829,4859116,2860431,1062,1725,654,null,null,884,4859116,2867451,722
Admin,4/17/21,US,2203448,1117881,1079804,216026359,134699473,79343578,1456292,2861655,1394142,null,null,1080238,134699473,87413139,1482532
Report,4/17/21,US,null,null,null,null,null,null,null,null,null,3588990,3200601,null,null,null,null
Admin,4/17/21,LTC,134,63,70,7783963,4859179,2860501,1056,1702,637,null,null,70,4859179,2867521,705
Admin,4/18/21,US,1008350,499158,506364,217034709,135198631,79849942,1411508,2815847,1393549,null,null,506563,135198631,87919702,1447927
Report,4/18/21,US,null,null,null,null,null,null,null,null,null,3534901,3194240,null,null,null,null
Admin,4/18/21,LTC,90,38,52,7784053,4859217,2860553,1050,1657,598,null,null,52,4859217,2867573,665
Admin,4/19/21,US,2367101,1032185,1325672,219401810,136230816,81175614,1333514,2751041,1407251,null,null,1326935,136230816,89246637,1411642
Report,4/19/21,US,null,null,null,null,null,null,null,null,null,2174495,3127038,null,null,null,null
Admin,4/19/21,LTC,1540,1071,467,7785593,4860288,2861020,973,1541,561,null,null,467,4860288,2868040,561
Admin,4/20/21,US,2961500,1300506,1649664,222363310,137531322,82825278,1276500,2703784,1417426,null,null,1650166,137531322,90896803,1418709
Report,4/20/21,US,null,null,null,null,null,null,null,null,null,1806929,3015065,null,null,null,null
Admin,4/20/21,LTC,2178,1821,356,7787771,4862109,2861376,1028,1522,490,null,null,356,4862109,2868396,490
Admin,4/21/21,US,3108151,1269216,1828836,225471461,138800538,84654114,1215390,2648895,1424238,null,null,1829550,138800538,92726353,1425215
Report,4/21/21,US,null,null,null,null,null,null,null,null,null,2563671,3022868,null,null,null,null
Admin,4/21/21,LTC,2283,1514,753,7790054,4863623,2862129,1076,1600,518,null,null,753,4863623,2869149,518
Admin,4/22/21,US,3168383,1310856,1848204,228639844,140111394,86502318,1159388,2599451,1431314,null,null,1848735,140111394,94575088,1432064
Report,4/22/21,US,null,null,null,null,null,null,null,null,null,2995734,2947229,null,null,null,null
Admin,4/22/21,LTC,2245,1567,668,7792299,4865190,2862797,1036,1506,464,null,null,668,4865190,2869817,464
Admin,4/23/21,US,2969632,1253579,1707029,231609476,141364973,88209347,1111912,2540937,1420796,null,null,1707517,141364973,96282605,1421386
Report,4/23/21,US,null,null,null,null,null,null,null,null,null,3374587,2862758,null,null,null,null
Admin,4/23/21,LTC,1134,703,428,7793433,4865893,2863225,968,1372,399,null,null,428,4865893,2870245,399
Admin,4/24/21,US,2014432,945427,1064210,233623908,142310400,89273557,1087275,2513935,1418568,null,null,1067471,142310400,97350076,1419562
Report,4/24/21,US,null,null,null,null,null,null,null,null,null,3318230,2824078,null,null,null,null
Admin,4/24/21,LTC,93,37,55,7793526,4865930,2863280,964,1366,397,null,null,55,4865930,2870300,397
Admin,4/25/21,US,914118,468931,443395,234538026,142779331,89716952,1082957,2500473,1409573,null,null,447187,142779331,97797263,1411080
Report,4/25/21,US,null,null,null,null,null,null,null,null,null,3020948,2750656,null,null,null,null
Admin,4/25/21,LTC,71,19,43,7793597,4865949,2863323,962,1363,396,null,null,44,4865949,2870344,395
Admin,4/26/21,US,1986420,801355,1178559,236524446,143580686,90895511,1049981,2446090,1388557,null,null,1192595,143580686,98989858,1391888
Report,4/26/21,US,null,null,null,null,null,null,null,null,null,2107046,2741021,null,null,null,null
Admin,4/26/21,LTC,1309,934,373,7794906,4866883,2863696,942,1330,382,null,null,383,4866883,2870727,383
Admin,4/27/21,US,2410319,951219,1451763,238934765,144531905,92347274,1000083,2367350,1360285,null,null,1492707,144531905,100482565,1369394
Report,4/27/21,US,null,null,null,null,null,null,null,null,null,1639215,2717062,null,null,null,null
Admin,4/27/21,LTC,2220,1517,697,7797126,4868400,2864393,899,1336,431,null,null,753,4868400,2871480,440
Admin,4/28/21,US,2599265,1009914,1582818,241534030,145541819,93930092,963040,2294652,1325140,null,null,1640939,145541819,102123504,1342450
Report,4/28/21,US,null,null,null,null,null,null,null,null,null,2231745,2669644,null,null,null,null
Admin,4/28/21,LTC,1801,1317,481,7798927,4869717,2864874,871,1267,392,null,null,519,4869717,2871999,407
Admin,4/29/21,US,2293616,870140,1417434,243827646,146411959,95347526,900081,2169686,1263601,null,null,1484097,146411959,103607601,1290359
Report,4/29/21,US,null,null,null,null,null,null,null,null,null,2721079,2630407,null,null,null,null
Admin,4/29/21,LTC,1907,1423,414,7800834,4871140,2865288,850,1219,356,null,null,619,4871140,2872618,400
Admin,4/30/21,US,1569097,570332,995302,245396743,146982291,96342828,802474,1969609,1161926,null,null,1033368,146982291,104640969,1194052
Report,4/30/21,US,null,null,null,null,null,null,null,null,null,2799184,2548207,null,null,null,null
Admin,4/30/21,LTC,825,545,214,7801659,4871685,2865502,827,1175,325,null,null,252,4871685,2872870,375
Admin,5/1/21,US,194726,64721,129709,245591469,147047012,96472537,676659,1709651,1028426,null,null,133686,147047012,104774655,1060654
Report,5/1/21,US,null,null,null,null,null,null,null,null,null,3303794,2546144,null,null,null,null
Admin,5/1/21,LTC,0,0,0,7801659,4871685,2865502,822,1161,317,null,null,0,4871685,2872870,367
Admin,5/2/21,US,0,0,0,245591469,147047012,96472537,609669,1579063,965084,null,null,0,147047012,104774655,996770
Report,5/2/21,US,null,null,null,null,null,null,null,null,null,2127998,2418580,null,null,null,null
Admin,5/2/21,LTC,0,0,0,7801659,4871685,2865502,819,1151,311,null,null,0,4871685,2872870,360
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
